timestamp,ticker,side,entry_price,yes_bid,no_bid,volume,pnl_if_exit_now
2026-03-19T13:55:54.984942+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7249.0,-0.4
2026-03-19T13:55:54.984942+00:00,KXNBAGAME-26MAR20NYKBKN-NYK,no,7,93.0,6.0,55023.0,-0.2
2026-03-19T13:55:54.984942+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7325.0,-0.4
2026-03-19T14:00:55.499538+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7249.0,-0.4
2026-03-19T14:00:55.499538+00:00,KXNBAGAME-26MAR20NYKBKN-NYK,no,7,93.0,6.0,55023.0,-0.2
2026-03-19T14:00:55.499538+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7325.0,-0.4
2026-03-19T14:05:55.906616+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7249.0,-0.4
2026-03-19T14:05:55.906616+00:00,KXNBAGAME-26MAR20NYKBKN-NYK,no,7,93.0,6.0,55023.0,-0.2
2026-03-19T14:05:55.906616+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7325.0,-0.4
2026-03-19T14:10:56.332583+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7249.0,-0.4
2026-03-19T14:10:56.332583+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7373.0,-0.4
2026-03-19T14:15:56.611676+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7251.0,-0.4
2026-03-19T14:15:56.611676+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7394.0,-0.4
2026-03-19T14:20:56.899915+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7251.0,-0.4
2026-03-19T14:20:56.899915+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7394.0,-0.4
2026-03-19T14:25:57.183781+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7251.0,-0.4
2026-03-19T14:25:57.183781+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7394.0,-0.4
2026-03-19T14:30:57.480686+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7251.0,-0.4
2026-03-19T14:30:57.480686+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7395.0,-0.4
2026-03-19T14:35:57.840494+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7251.0,-0.4
2026-03-19T14:35:57.840494+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7395.0,-0.4
2026-03-19T14:40:58.188637+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7251.0,-0.4
2026-03-19T14:40:58.188637+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7395.0,-0.4
2026-03-19T14:45:58.465133+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7253.0,-0.4
2026-03-19T14:45:58.465133+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7660.0,-0.4
2026-03-19T14:45:58.465133+00:00,KXMLBSTGAME-26MAR191305BALNYY-NYY,no,8,73.0,24.0,14408.0,3.2
2026-03-19T14:50:58.925631+00:00,KXWTAMATCH-26MAR19LINSWI-SWI,no,7,94.0,5.0,7253.0,-0.4
2026-03-19T14:50:58.925631+00:00,KXNBAGAME-26MAR20BOSMEM-BOS,no,10,90.0,8.0,7660.0,-0.4
2026-03-19T14:50:58.925631+00:00,KXMLBSTGAME-26MAR191305BALNYY-NYY,no,8,70.0,27.0,14410.0,3.8
2026-03-19T15:00:59.456834+00:00,KXATPMATCH-26MAR18KOUSVA-SVA,no,6,93.0,6.0,97788.0,0.0
