timestamp,strategy,market_ticker,event_ticker,sport,side,contracts,entry_price,exit_price,peak_price,entry_fee,exit_fee,pnl,exit_reason,entry_time,is_bot
2026-03-18T13:16:06.698885,watcher_tennis_underdog,KXATPCHALLENGERMATCH-26MAR17NEUNAG-NEU,KXATPCHALLENGERMATCH-26MAR17NEUNAG,,yes,4,22,9,22,0.02,0.01,-0.55,Tennis SL pct=33% 9c<=14c PNL=$-0.55,2026-03-18T13:15:40.086074+00:00,True
2026-03-18T14:15:33.848465,watcher_tennis_underdog,KXATPCHALLENGERMATCH-26MAR18DALAJD-DAL,KXATPCHALLENGERMATCH-26MAR18DALAJD,,yes,2,40,27,56,0.01,0.01,-0.28,Tennis SL pct=33% 27c<=27c PNL=$-0.28,2026-03-18T12:45:46.612869+00:00,True
2026-03-18T14:17:56.827394,watcher_tennis_underdog,KXATPCHALLENGERMATCH-26MAR18DALAJD-DAL,KXATPCHALLENGERMATCH-26MAR18DALAJD,,yes,3,28,19,28,0.02,0.01,-0.3,Tennis SL pct=33% 19c<=19c PNL=$-0.30,2026-03-18T14:17:42.733531+00:00,True
2026-03-18T14:24:38.624691,exit_stale_tennis_underdog,KXATPMATCH-26MAR17SHAVAN-VAN,KXATPMATCH-26MAR17SHAVAN,TennisMATCH,yes,2,35,36,36,0.01,0.01,0.0,"""Stale: 7241s, 1c move, PNL=$0.00""",2026-03-18T12:23:56.328330+00:00,True
2026-03-18T15:12:29.154371,watcher_tennis_underdog,KXATPCHALLENGERMATCH-26MAR18DALAJD-DAL,KXATPCHALLENGERMATCH-26MAR18DALAJD,,yes,4,21,13,39,0.02,0.01,-0.35,Tennis SL pct=33% 13c<=14c PNL=$-0.35,2026-03-18T14:24:39.534182+00:00,True
2026-03-18T15:15:47.317407,watcher_tennis_underdog,KXATPCHALLENGERMATCH-26MAR18DALAJD-DAL,KXATPCHALLENGERMATCH-26MAR18DALAJD,,yes,3,26,19,26,0.02,0.01,-0.24,Tennis SL pct=86% 19c<=20c PNL=$-0.24,2026-03-18T15:14:11.323160+00:00,True
2026-03-18T15:41:52.898995,exit_stale_tennis_underdog,KXATPMATCH-26MAR17BERBRO-BER,KXATPMATCH-26MAR17BERBRO,TennisMATCH,yes,2,40,37,40,0.01,0.01,-0.08,"Stale: 7258s, 3c move, PNL=$-0.08",2026-03-18T13:40:53.634272+00:00,True
2026-03-18T15:51:38.661269,exit_trail_value_fade,KXATPMATCH-TEST-NODAL,KXATPMATCH-TEST,,no,3,6,7,6,0.01,0.01,0.01,stack check mock exit,2026-03-18T15:51:38.660206+00:00,True
2026-03-18T16:00:06.716446,exit_stale_tennis_underdog,KXATPMATCH-26MAR17MPEUGO-UGO,KXATPMATCH-26MAR17MPEUGO,TennisMATCH,yes,2,39,36,39,0.01,0.01,-0.08,"Stale: 7246s, 3c move, PNL=$-0.08",2026-03-18T13:59:14.960936+00:00,True
2026-03-18T16:22:11.026668,exit_sl_tennis_underdog,KXATPCHALLENGERMATCH-26MAR18DEJHOU-HOU,KXATPCHALLENGERMATCH-26MAR18DEJHOU,TennisCHALLENGERMATCH,yes,4,23,15,26,0.02,0.01,-0.35,Stop loss: 15c<=16c entry=23c PNL=$-0.35,2026-03-18T16:12:49.842436+00:00,True
2026-03-18T16:45:16.356513,exit_stale_manual,KXNBAGAME-26MAR18OKCBKN-BKN,KXNBAGAME-26MAR18OKCBKN,NBAGAME,yes,156,6,5,6,0.62,0.13,-2.31,"Stale: 1832s, 1c move, PNL=$-2.31",2026-03-18T16:14:43.900153Z,False
