timestamp,market_ticker,event_ticker,sport,side,strategy,entry_price,exit_price,peak_price,contracts,entry_fee,exit_fee,pnl_gross,pnl_net,win,exit_reason,age_seconds,price_range,is_bot
2026-03-17T00:30:41.985034+00:00,KXATPMATCH-26MAR16JODDHA-JOD,KXATPMATCH-26MAR16JODDHA,,no,watcher_value_fade,5,3,5,20,0.02,0.02,-0.4,-0.44,0,Stop loss: 3c <= 3c (entry=5c),81,5-14,1
2026-03-17T00:30:59.331082+00:00,KXNBATOTAL-26MAR16PHXBOS-199,KXNBATOTAL-26MAR16PHXBOS,,no,watcher_manual,95,1,95,20,0.27,0.01,-18.8,-19.08,0,Stop loss: 1c <= 66c (entry=95c),540,95-104,0
2026-03-17T00:30:59.609628+00:00,KXNBATOTAL-26MAR16GSWWAS-216,KXNBATOTAL-26MAR16GSWWAS,,no,watcher_manual,97,1,97,20,0.17,0.01,-19.2,-19.38,0,Stop loss: 1c <= 67c (entry=97c),536,95-104,0
2026-03-17T00:30:59.964674+00:00,KXNBA1HTOTAL-26MAR16ORLATL-113,KXNBA1HTOTAL-26MAR16ORLATL,,no,watcher_manual,99,1,99,20,0.02,0.01,-19.6,-19.63,0,Stop loss: 1c <= 69c (entry=99c),497,95-104,0
2026-03-17T00:31:00.241718+00:00,KXNBA1HTOTAL-26MAR16ORLATL-116,KXNBA1HTOTAL-26MAR16ORLATL,,no,watcher_manual,99,1,99,20,0.02,0.01,-19.6,-19.63,0,Stop loss: 1c <= 69c (entry=99c),497,95-104,0
2026-03-17T00:31:00.522638+00:00,KXNBA1HTOTAL-26MAR16GSWWAS-116,KXNBA1HTOTAL-26MAR16GSWWAS,,no,watcher_manual,99,1,99,20,0.02,0.01,-19.6,-19.63,0,Stop loss: 1c <= 69c (entry=99c),496,95-104,0
2026-03-17T00:31:00.814584+00:00,KXNBA3PT-26MAR16GSWWAS-WASTYOUNG3-3,KXNBA3PT-26MAR16GSWWAS-WASTYOUNG3,,no,watcher_manual,99,1,99,20,0.02,0.01,-19.6,-19.63,0,Stop loss: 1c <= 69c (entry=99c),371,95-104,0
2026-03-17T00:33:56.147182+00:00,KXNBAGAME-26MAR16PORBKN-POR,KXNBAGAME-26MAR16PORBKN,NBAGAME,no,exit_sl_watcher_value_fade,4,2,4,20,0.02,0.01,-0.4,-0.43,0,Stop loss: 2c <= 4c -35%,271,other,1
2026-03-17T00:45:17.143919+00:00,KXWTAMATCH-26MAR15JUVSTO-STO,KXWTAMATCH-26MAR15JUVSTO,,yes,watcher_underdog,34,82,82,3,0.02,0.01,1.44,1.41,1,"Rocket exit: jumped +56c this cycle, profit=$1.41",1219,25-34,1
2026-03-17T00:45:17.424983+00:00,KXATPMATCH-26MAR16SWEHIJ-SWE,KXATPMATCH-26MAR16SWEHIJ,,yes,watcher_underdog,28,12,28,4,0.02,0.01,-0.64,-0.67,0,Stop loss: 12c <= 19c (entry=28c),958,25-34,1
